Source	Target	Weight
hep-ph	stat	1.5090685968257647
hep-ph	nlin	2.6272751940452914
hep-ph	astro-ph	1.1265360177785408
hep-ph	hep-th	2.207366157456726
hep-ph	hep-ex	2.3752233986677322
hep-ph	quant-ph	2.380498215899905
hep-ph	q-bio	1.4513448960046071
hep-ph	cs	1.4405204635007118
hep-ph	hep-lat	3.336505571613971
hep-ph	gr-qc	3.0498381679622124
hep-ph	physics	2.7709788732257765
hep-ph	cond-mat	2.7776429077832554
hep-ph	nucl-th	4.581691980362136
hep-ph	nucl-ex	2.338902095499571
hep-ph	q-fin	1.959030789107397
hep-ph	math	1.754078385728678
hep-ph	math-ph	2.160409451169151
math	stat	1.5774169418996329
math	nlin	2.073979555912446
math	astro-ph	0.8642049672945952
math	hep-th	2.484567728695142
math	hep-ex	1.3793376271745845
math	quant-ph	1.8094287886634222
math	q-bio	1.2468653804335899
math	cs	1.7282377280863346
math	hep-lat	2.021956015986393
math	gr-qc	2.062017655407569
math	physics	1.5724617911440524
math	cond-mat	1.414732915402367
math	nucl-th	1.3927894731857384
math	nucl-ex	1.1984603188530045
math	q-fin	1.8326510984177624
math	math-ph	3.824008425055362
physics	stat	2.085812408289436
physics	nlin	3.414314033581827
physics	astro-ph	1.2689413930027476
physics	hep-th	1.8094130734437148
physics	hep-ex	1.9211273482659998
physics	quant-ph	2.8691701725774297
physics	q-bio	2.318600520549003
physics	cs	1.9873680501888338
physics	hep-lat	2.4671842901546888
physics	gr-qc	2.6690807968658157
physics	cond-mat	3.4349594717719327
physics	nucl-th	2.7177007382090514
physics	nucl-ex	2.078604594489395
physics	q-fin	3.1766352126836694
physics	math-ph	1.8612811365578232
cond-mat	stat	1.3644964305455625
cond-mat	nlin	2.8685888545110827
cond-mat	astro-ph	1.0961787930751403
cond-mat	hep-th	1.7998330114931935
cond-mat	hep-ex	1.707688766208528
cond-mat	quant-ph	2.6733221695399534
cond-mat	q-bio	1.496850252855429
cond-mat	cs	1.3373924084524804
cond-mat	hep-lat	2.625846999772864
cond-mat	gr-qc	2.3122229841253867
cond-mat	nucl-th	3.335171679963329
cond-mat	nucl-ex	1.9841666280911603
cond-mat	q-fin	1.8259985194438804
cond-mat	math-ph	1.7443595697223138
gr-qc	stat	1.6681238840876762
gr-qc	nlin	4.250684275154614
gr-qc	astro-ph	0.9648054411939506
gr-qc	hep-th	3.868515053475257
gr-qc	hep-ex	1.4965966643554225
gr-qc	quant-ph	2.933157734956934
gr-qc	q-bio	1.4803270456935511
gr-qc	cs	1.6201703955887425
gr-qc	hep-lat	4.175157894033657
gr-qc	nucl-th	2.4302851441408198
gr-qc	nucl-ex	1.4760716243090695
gr-qc	q-fin	2.3081880709793685
gr-qc	math-ph	3.2861829611282016
astro-ph	stat	1.041996197964273
astro-ph	nlin	0.9843664883060214
astro-ph	hep-th	0.8321475231128974
astro-ph	hep-ex	1.4417917110990828
astro-ph	quant-ph	0.9416746497135097
astro-ph	q-bio	1.28602691885826
astro-ph	cs	1.0318958597490075
astro-ph	hep-lat	0.9123956059757533
astro-ph	nucl-th	1.0763507232861589
astro-ph	nucl-ex	1.5901691165527654
astro-ph	q-fin	1.1363039158453319
astro-ph	math-ph	0.8475596934173174
hep-th	stat	1.392436313792207
hep-th	nlin	2.79388865912259
hep-th	hep-ex	1.255531447817219
hep-th	quant-ph	2.215498528820357
hep-th	q-bio	1.232168579982145
hep-th	cs	1.4155491849550903
hep-th	hep-lat	3.694030815605064
hep-th	nucl-th	1.762110811395641
hep-th	nucl-ex	1.1939587549574808
hep-th	q-fin	1.733003018336697
hep-th	math-ph	3.897805769220275
hep-ex	stat	1.4017515165549659
hep-ex	nlin	1.4983616913267035
hep-ex	quant-ph	1.5191139397282736
hep-ex	q-bio	1.3257467036302524
hep-ex	cs	1.3426084303994474
hep-ex	hep-lat	1.5363922544628161
hep-ex	nucl-th	2.116780359292561
hep-ex	nucl-ex	4.476603969440553
hep-ex	q-fin	1.5411500153883828
hep-ex	math-ph	1.3869757100053486
nlin	cs	1.8847764532615965
nlin	nucl-ex	1.51570692988029
nlin	math-ph	3.1324736906667194
nlin	stat	1.8686580083020736
nlin	quant-ph	4.763885403974386
nlin	q-bio	1.741370594484766
nlin	hep-lat	3.596032497345679
nlin	q-fin	2.9868242817822597
nlin	nucl-th	2.3684363789080414
q-bio	cs	2.6639850637816633
q-bio	nucl-ex	1.339248346865322
q-bio	math-ph	1.2620809544159077
q-bio	stat	2.506853109688611
q-bio	quant-ph	1.5341118593059877
q-bio	hep-lat	1.3753239919494034
q-bio	q-fin	3.133148536055145
q-bio	nucl-th	1.353985768526384
quant-ph	cs	1.7143285137215798
quant-ph	nucl-ex	1.551601695155884
quant-ph	math-ph	2.6688404550095415
quant-ph	stat	1.736504839465337
quant-ph	hep-lat	2.897741204935271
quant-ph	q-fin	2.328022028675644
quant-ph	nucl-th	2.4914405314820667
cs	stat	5.530083071248872
cs	hep-lat	1.4939811235485039
cs	q-fin	3.8053195475231516
cs	nucl-th	1.2873508764928443
cs	nucl-ex	1.2227947578250702
cs	math-ph	1.6324160210923822
nucl-th	stat	1.3806746418115776
nucl-th	hep-lat	2.7411116029883598
nucl-th	q-fin	1.711415621391052
nucl-th	nucl-ex	2.457785989513856
nucl-th	math-ph	1.7787495284090313
math-ph	stat	1.6015598937115167
math-ph	hep-lat	3.1134066465876846
math-ph	q-fin	1.9726904677032102
math-ph	nucl-ex	1.2740022663990718
hep-lat	stat	1.5577090710383876
hep-lat	q-fin	1.9726857979050474
hep-lat	nucl-ex	1.4823963066748274
nucl-ex	stat	1.2781182010102885
nucl-ex	q-fin	1.4861187002239402
q-fin	stat	3.588876277976412
