id,State,Area_Name,Rural-urban_Continuum Code_2003,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2003,Urban_Influence_Code_2013,POP_ESTIMATE_2019,N_POP_CHG_2019,R_NET_MIG_2019
0,US,United States,,,,,"328,239,523","1,552,022",
1000,AL,Alabama,,,,,"4,903,185","15,504",2.5
1001,AL,Autauga County,2,2,2,2,"55,869",336,4.6
1003,AL,Baldwin County,4,3,5,2,"223,234","5,379",24.4
1005,AL,Barbour County,6,6,6,6,"24,686",-186,-5.2
1007,AL,Bibb County,1,1,1,1,"22,394",27,1.8
1009,AL,Blount County,1,1,1,1,"57,826",55,1.1
1011,AL,Bullock County,6,6,6,6,"10,101",-73,-7.2
1013,AL,Butler County,6,6,6,6,"19,448",-183,-6.3
1015,AL,Calhoun County,3,3,2,2,"113,605",-726,-4
1017,AL,Chambers County,6,6,5,5,"33,254",-346,-7.7
1019,AL,Cherokee County,8,6,6,6,"26,196",182,11.6
1021,AL,Chilton County,1,1,1,1,"44,428",265,4.9
1023,AL,Choctaw County,9,9,10,10,"12,589",-244,-15.8
1025,AL,Clarke County,7,7,11,11,"23,622",-296,-10
1027,AL,Clay County,9,9,10,10,"13,235",-59,-1.1
1029,AL,Cleburne County,8,8,4,4,"14,910",-100,-6.5
1031,AL,Coffee County,6,4,5,5,"52,342",392,7.1
1033,AL,Colbert County,3,3,2,2,"55,241",237,6
1035,AL,Conecuh County,9,7,11,11,"12,067",-225,-13.6
1037,AL,Coosa County,8,8,7,3,"10,663",20,5.2
1039,AL,Covington County,7,6,9,6,"37,049",96,6.2
1041,AL,Crenshaw County,8,8,6,6,"13,772",-53,-0.8
1043,AL,Cullman County,6,4,3,3,"83,768",350,5
1045,AL,Dale County,4,4,5,5,"49,172",29,-1.4
1047,AL,Dallas County,4,4,5,5,"37,196","-1,098",-26.4
1049,AL,DeKalb County,6,6,6,6,"71,513",106,1.9
1051,AL,Elmore County,2,2,2,2,"81,209",198,1.1
1053,AL,Escambia County,6,6,6,6,"36,633",109,4.5
1055,AL,Etowah County,3,3,2,2,"102,268",-343,-0.2
1057,AL,Fayette County,6,6,6,6,"16,302",-143,-5.6
1059,AL,Franklin County,6,6,6,6,"31,362",64,0
1061,AL,Geneva County,3,3,2,2,"26,271",-35,2.1
1063,AL,Greene County,3,8,2,6,"8,111",-98,-12.4
1065,AL,Hale County,3,3,2,2,"14,651",-98,-7.2
1067,AL,Henry County,3,3,2,2,"17,205",32,4.5
1069,AL,Houston County,3,3,2,2,"105,882","1,112",9
1071,AL,Jackson County,6,6,5,5,"51,626",5,2.3
1073,AL,Jefferson County,1,1,1,1,"658,573",-856,-2.9
1075,AL,Lamar County,9,8,10,7,"13,805",-77,-4.7
1077,AL,Lauderdale County,3,3,2,2,"92,729",125,4.2
1079,AL,Lawrence County,3,3,2,2,"32,924",-17,2
1081,AL,Lee County,3,3,2,2,"164,542",886,1.2
1083,AL,Limestone County,2,2,2,2,"98,915","2,738",26.4
1085,AL,Lowndes County,2,2,2,2,"9,726",-248,-22.7
1087,AL,Macon County,6,6,5,6,"18,068",-253,-8.8
1089,AL,Madison County,2,2,2,2,"372,909","5,905",13.4
1091,AL,Marengo County,7,7,11,11,"18,863",-193,-6.6
1093,AL,Marion County,8,7,4,11,"29,709",-41,2.2
1095,AL,Marshall County,4,4,5,5,"96,774",604,3.8
1097,AL,Mobile County,2,2,2,2,"413,210",-698,-3.8
1099,AL,Monroe County,7,7,11,11,"20,733",-329,-12
1101,AL,Montgomery County,2,2,2,2,"226,486",-18,-4
1103,AL,Morgan County,3,3,2,2,"119,679",476,3.3
1105,AL,Perry County,8,8,6,4,"8,923",-147,-13.6
1107,AL,Pickens County,8,3,6,2,"19,930",-50,-1
1109,AL,Pike County,6,6,5,5,"33,114",-128,-3.9
1111,AL,Randolph County,6,6,4,4,"22,722",-5,1.2
1113,AL,Russell County,2,2,2,2,"57,961",177,-0.4
1115,AL,St. Clair County,1,1,1,1,"89,512",858,9.6
1117,AL,Shelby County,1,1,1,1,"217,702","2,119",7
1119,AL,Sumter County,8,8,6,6,"12,427",-207,-14.4
1121,AL,Talladega County,4,4,5,3,"79,978",-159,0.6
1123,AL,Tallapoosa County,6,6,6,6,"40,367",-168,-0.4
1125,AL,Tuscaloosa County,3,3,2,2,"209,355","1,036",2.3
1127,AL,Walker County,1,1,1,1,"63,521",-148,1.2
1129,AL,Washington County,8,8,7,7,"16,326",-76,-3.1
1131,AL,Wilcox County,8,9,7,10,"10,373",-226,-18.8
1133,AL,Winston County,6,6,4,4,"23,629",-64,0.8
2000,AK,Alaska,,,,,"731,545","-3,594",-12
2013,AK,Aleutians East Borough,9,9,12,12,"3,337",-58,-17.8
2016,AK,Aleutians West Census Area,7,9,11,11,"5,634",-6,-6.7
2020,AK,Anchorage Municipality,2,2,2,2,"288,000","-2,521",-15.9
2050,AK,Bethel Census Area,7,7,11,11,"18,386",167,-4.7
2060,AK,Bristol Bay Borough,9,9,12,12,836,-44,-52.4
2068,AK,Denali Borough,8,8,7,7,"2,097",65,28.6
2070,AK,Dillingham Census Area,9,9,12,12,"4,916",-75,-24.2
2090,AK,Fairbanks North Star Borough,3,3,2,2,"96,849","-1,716",-28.1
2100,AK,Haines Borough,9,9,10,12,"2,530",42,11.2
2105,AK,Hoonah-Angoon Census Area,,9,,10,"2,148",-7,-4.2
2110,AK,Juneau City and Borough,5,5,8,8,"31,974",-63,-7.1
2122,AK,Kenai Peninsula Borough,7,7,11,11,"58,708",147,0.4
2130,AK,Ketchikan Gateway Borough,7,7,8,8,"13,901",45,-1.3
2150,AK,Kodiak Island Borough,7,7,8,11,"12,998",-252,-28
2158,AK,Kusilvak Census Area,9,9,12,12,"8,314",-9,-16.7
2164,AK,Lake and Peninsula Borough,9,9,12,12,"1,592",-4,-15.7
2170,AK,Matanuska-Susitna Borough,2,2,2,2,"108,317","1,202",4.5
2180,AK,Nome Census Area,7,7,11,11,"10,004",-49,-14.5
2185,AK,North Slope Borough,7,7,11,11,"9,832",-18,-11.5
2188,AK,Northwest Arctic Borough,7,7,11,11,"7,621",-73,-19.5
2195,AK,Petersburg Borough,,9,,11,"3,266",22,6.5
2198,AK,Prince of Wales-Hyder Census Area,,9,,10,"6,203",-157,-26.1
2220,AK,Sitka City and Borough,7,7,11,11,"8,493",-61,-9.4
2230,AK,Skagway Municipality,,9,,12,"1,183",14,17
2240,AK,Southeast Fairbanks Census Area,8,9,7,12,"6,893",-44,-16.9
2261,AK,Valdez-Cordova Census Area,9,9,11,11,"9,202",41,-2.1
2275,AK,Wrangell City and Borough,,9,,12,"2,502",-36,-9.9
2282,AK,Yakutat City and Borough,9,9,12,12,579,-17,-35.7
2290,AK,Yukon-Koyukuk Census Area,8,9,7,12,"5,230",-129,-25.9
4000,AZ,Arizona,,,,,"7,278,717","120,693",13.7
4001,AZ,Apache County,6,6,6,6,"71,887",156,-1
4003,AZ,Cochise County,4,3,5,2,"125,922",-489,-4.2
4005,AZ,Coconino County,3,3,2,2,"143,476",953,2.4
4007,AZ,Gila County,4,4,3,3,"54,018",217,9.5
4009,AZ,Graham County,6,7,8,8,"38,837",842,16.6
4011,AZ,Greenlee County,7,7,8,9,"9,498",50,-4.6
4012,AZ,La Paz County,6,6,4,4,"21,108",69,9.1
4013,AZ,Maricopa County,1,1,1,1,"4,485,414","83,011",14.2
4015,AZ,Mohave County,4,3,3,2,"212,181","2,889",21.2
4017,AZ,Navajo County,4,4,6,5,"110,924",682,3.2
