id,Stabr,Area_name,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,PCTPOVALL_2019
00000,US,United States,,,12.3
01000,AL,Alabama,,,15.6
01001,AL,Autauga County,2,2,12.1
01003,AL,Baldwin County,3,2,10.1
01005,AL,Barbour County,6,6,27.1
01007,AL,Bibb County,1,1,20.3
01009,AL,Blount County,1,1,16.3
01011,AL,Bullock County,6,6,30.0
01013,AL,Butler County,6,6,21.6
01015,AL,Calhoun County,3,2,17.2
01017,AL,Chambers County,6,5,19.6
01019,AL,Cherokee County,6,6,15.9
01021,AL,Chilton County,1,1,16.0
01023,AL,Choctaw County,9,10,22.6
01025,AL,Clarke County,7,11,18.4
01027,AL,Clay County,9,10,16.6
01029,AL,Cleburne County,8,4,13.3
01031,AL,Coffee County,4,5,15.0
01033,AL,Colbert County,3,2,14.6
01035,AL,Conecuh County,7,11,22.2
01037,AL,Coosa County,8,3,17.1
01039,AL,Covington County,6,6,17.2
01041,AL,Crenshaw County,8,6,16.8
01043,AL,Cullman County,4,3,12.2
01045,AL,Dale County,4,5,18.1
01047,AL,Dallas County,4,5,26.0
01049,AL,DeKalb County,6,6,18.2
01051,AL,Elmore County,2,2,11.4
01053,AL,Escambia County,6,6,20.5
01055,AL,Etowah County,3,2,18.8
01057,AL,Fayette County,6,6,17.0
01059,AL,Franklin County,6,6,16.1
01061,AL,Geneva County,3,2,16.1
01063,AL,Greene County,8,6,31.7
01065,AL,Hale County,3,2,20.5
01067,AL,Henry County,3,2,17.2
01069,AL,Houston County,3,2,19.4
01071,AL,Jackson County,6,5,14.7
01073,AL,Jefferson County,1,1,16.2
01075,AL,Lamar County,8,7,15.3
01077,AL,Lauderdale County,3,2,15.7
01079,AL,Lawrence County,3,2,17.7
01081,AL,Lee County,3,2,15.5
01083,AL,Limestone County,2,2,12.0
01085,AL,Lowndes County,2,2,26.6
01087,AL,Macon County,6,6,29.3
01089,AL,Madison County,2,2,11.5
01091,AL,Marengo County,7,11,24.8
01093,AL,Marion County,7,11,16.9
01095,AL,Marshall County,4,5,15.7
01097,AL,Mobile County,2,2,17.7
01099,AL,Monroe County,7,11,23.3
01101,AL,Montgomery County,2,2,15.8
01103,AL,Morgan County,3,2,13.7
01105,AL,Perry County,8,4,33.9
01107,AL,Pickens County,3,2,24.3
01109,AL,Pike County,6,5,21.8
01111,AL,Randolph County,6,4,17.5
01113,AL,Russell County,2,2,18.9
01115,AL,St. Clair County,1,1,11.2
01117,AL,Shelby County,1,1,6.2
01119,AL,Sumter County,8,6,36.4
01121,AL,Talladega County,4,3,17.4
01123,AL,Tallapoosa County,6,6,16.0
01125,AL,Tuscaloosa County,3,2,16.2
01127,AL,Walker County,1,1,17.3
01129,AL,Washington County,8,7,18.6
01131,AL,Wilcox County,9,10,32.5
01133,AL,Winston County,6,4,16.7
02000,AK,Alaska,,,10.2
02013,AK,Aleutians East Borough,9,12,14.8
02016,AK,Aleutians West Census Area,9,11,7.6
02020,AK,Anchorage Borough,2,2,9.5
02050,AK,Bethel Census Area,7,11,23.5
02060,AK,Bristol Bay Borough,9,12,9.8
02068,AK,Denali Borough,8,7,6.6
02070,AK,Dillingham Census Area,9,12,18.1
02090,AK,Fairbanks North Star Borough,3,2,7.2
02100,AK,Haines Borough,9,12,9.8
02105,AK,Hoonah-Angoon Census Area,9,10,15.7
02110,AK,Juneau Borough,5,8,6.3
02122,AK,Kenai Peninsula Borough,7,11,10.4
02130,AK,Ketchikan Gateway Borough,7,8,9.4
02150,AK,Kodiak Island Borough,7,11,7.1
02158,AK,Kusilvak Census Area,9,12,26.8
02164,AK,Lake and Peninsula Borough,9,12,17.4
02170,AK,Matanuska-Susitna Borough,2,2,9.6
02180,AK,Nome Census Area,7,11,20.7
02185,AK,North Slope Borough,7,11,11.4
02188,AK,Northwest Arctic Borough,7,11,24.0
02195,AK,Petersburg Borough,9,11,6.7
02198,AK,Prince of Wales-Hyder Census Area,9,10,17.6
02220,AK,Sitka Borough,7,11,8.1
02230,AK,Skagway Municipality,9,12,4.0
02240,AK,Southeast Fairbanks Census Area,9,12,12.0
02261,AK,Valdez-Cordova Census Area,9,11,8.6
02275,AK,Wrangell City and Borough,9,12,9.7
02282,AK,Yakutat Borough,9,12,14.7
02290,AK,Yukon-Koyukuk Census Area,9,12,24.4
04000,AZ,Arizona,,,13.5
04001,AZ,Apache County,6,6,33.4
04003,AZ,Cochise County,3,2,16.6
04005,AZ,Coconino County,3,2,15.9
04007,AZ,Gila County,4,3,21.1
04009,AZ,Graham County,7,8,20.1
04011,AZ,Greenlee County,7,9,9.3
04012,AZ,La Paz County,6,4,22.1
04013,AZ,Maricopa County,1,1,12.2
04015,AZ,Mohave County,3,2,16.0
04017,AZ,Navajo County,4,5,25.2
04019,AZ,Pima County,2,2,14.0
04021,AZ,Pinal County,1,1,12.1
04023,AZ,Santa Cruz County,4,5,18.8
04025,AZ,Yavapai County,3,2,12.0
04027,AZ,Yuma County,3,2,20.4
05000,AR,Arkansas,,,16.0
05001,AR,Arkansas County,6,6,15.8
05003,AR,Ashley County,7,11,18.5
05005,AR,Baxter County,7,8,12.7
05007,AR,Benton County,2,2,8.9
05009,AR,Boone County,7,8,15.1
05011,AR,Bradley County,7,9,22.9
05013,AR,Calhoun County,9,8,15.4
05015,AR,Carroll County,6,6,14.7
05017,AR,Chicot County,7,9,31.0
05019,AR,Clark County,7,8,20.6
05021,AR,Clay County,7,9,18.7
05023,AR,Cleburne County,6,6,14.1
05025,AR,Cleveland County,3,2,13.7
05027,AR,Columbia County,7,8,21.2
05029,AR,Conway County,6,6,15.6
05031,AR,Craighead County,3,2,16.9
05033,AR,Crawford County,2,2,18.3
05035,AR,Crittenden County,1,1,22.4
05037,AR,Cross County,6,4,17.8
05039,AR,Dallas County,6,6,18.8
05041,AR,Desha County,6,6,25.4
05043,AR,Drew County,6,6,18.5
05045,AR,Faulkner County,2,2,14.4
05047,AR,Franklin County,6,6,16.2
05049,AR,Fulton County,9,9,17.7
05051,AR,Garland County,3,2,16.9
05053,AR,Grant County,2,2,12.1
05055,AR,Greene County,4,5,15.5
05057,AR,Hempstead County,6,6,18.5
05059,AR,Hot Spring County,6,5,20.2
05061,AR,Howard County,6,6,16.8
05063,AR,Independence County,7,8,15.9
05065,AR,Izard County,9,10,15.9
05067,AR,Jackson County,6,6,22.9
05069,AR,Jefferson County,3,2,24.4
05071,AR,Johnson County,7,9,17.5
05073,AR,Lafayette County,8,7,25.5
05075,AR,Lawrence County,6,6,18.4
05077,AR,Lee County,7,9,35.4
05079,AR,Lincoln County,3,2,27.1
05081,AR,Little River County,3,2,17.8
05083,AR,Logan County,6,6,17.4
05085,AR,Lonoke County,2,2,10.7
05087,AR,Madison County,2,2,16.4
05089,AR,Marion County,9,10,16.3
05091,AR,Miller County,3,2,14.1
05093,AR,Mississippi County,4,3,23.0
05095,AR,Monroe County,7,9,25.5
05097,AR,Montgomery County,8,7,19.9
05099,AR,Nevada County,7,9,24.1
05101,AR,Newton County,9,8,18.1
05103,AR,Ouachita County,7,8,17.3
05105,AR,Perry County,2,2,16.5
05107,AR,Phillips County,6,3,33.3
05109,AR,Pike County,9,10,16.9
05111,AR,Poinsett County,3,2,23.1
05113,AR,Polk County,7,11,20.2
05115,AR,Pope County,5,8,16.9
05117,AR,Prairie County,8,7,15.0
05119,AR,Pulaski County,2,2,14.6
05121,AR,Randolph County,7,9,17.3
05123,AR,St. Francis County,6,3,32.0
05125,AR,Saline County,2,2,9.6
05127,AR,Scott County,6,6,19.6
05129,AR,Searcy County,9,10,22.4
05131,AR,Sebastian County,2,2,15.9
05133,AR,Sevier County,6,6,17.7
05135,AR,Sharp County,7,9,23.3
05137,AR,Stone County,9,9,19.3
05139,AR,Union County,7,8,18.9
05141,AR,Van Buren County,8,6,19.9
05143,AR,Washington County,2,2,15.1
05145,AR,White County,4,5,15.4
05147,AR,Woodruff County,9,10,27.1
05149,AR,Yell County,6,5,15.6
06000,CA,California,,,11.8
06001,CA,Alameda County,1,1,8.9
06003,CA,Alpine County,8,4,17.2
06005,CA,Amador County,6,4,9.8
06007,CA,Butte County,3,2,16.1
06009,CA,Calaveras County,6,6,12.1
06011,CA,Colusa County,6,4,12.0
06013,CA,Contra Costa County,1,1,7.9
06015,CA,Del Norte County,7,8,17.9
06017,CA,El Dorado County,1,1,8.7
06019,CA,Fresno County,2,2,20.5
06021,CA,Glenn County,6,6,12.1
06023,CA,Humboldt County,5,8,19.1
06025,CA,Imperial County,3,2,22.0
06027,CA,Inyo County,7,11,11.7
06029,CA,Kern County,2,2,19.0
06031,CA,Kings County,3,2,16.0
06033,CA,Lake County,4,5,18.3
06035,CA,Lassen County,7,8,16.5
06037,CA,Los Angeles County,1,1,13.4
06039,CA,Madera County,3,2,17.6
06041,CA,Marin County,1,1,6.9
06043,CA,Mariposa County,8,7,15.1
06045,CA,Mendocino County,4,5,14.0
06047,CA,Merced County,2,2,17.0
06049,CA,Modoc County,6,6,20.5
06051,CA,Mono County,7,11,10.1
06053,CA,Monterey County,2,2,12.6
06055,CA,Napa County,3,2,7.4
06057,CA,Nevada County,4,3,9.4
06059,CA,Orange County,1,1,9.5
06061,CA,Placer County,1,1,6.6
06063,CA,Plumas County,7,12,13.2
