"County"	"id"	daily_precip_mm
"Autauga County, AL"	"01001"	3.73
"Baldwin County, AL"	"01003"	4.34
"Barbour County, AL"	"01005"	3.41
"Bibb County, AL"	"01007"	3.92
"Blount County, AL"	"01009"	3.77
"Bullock County, AL"	"01011"	3.55
"Butler County, AL"	"01013"	3.99
"Calhoun County, AL"	"01015"	3.47
"Chambers County, AL"	"01017"	3.57
"Cherokee County, AL"	"01019"	3.60
"Chilton County, AL"	"01021"	3.81
"Choctaw County, AL"	"01023"	4.10
"Clarke County, AL"	"01025"	3.98
"Clay County, AL"	"01027"	3.76
"Cleburne County, AL"	"01029"	3.55
"Coffee County, AL"	"01031"	3.84
"Colbert County, AL"	"01033"	3.67
"Conecuh County, AL"	"01035"	4.17
"Coosa County, AL"	"01037"	3.65
"Covington County, AL"	"01039"	4.13
"Crenshaw County, AL"	"01041"	3.91
"Cullman County, AL"	"01043"	3.84
"Dale County, AL"	"01045"	3.60
"Dallas County, AL"	"01047"	3.70
"DeKalb County, AL"	"01049"	3.71
"Elmore County, AL"	"01051"	3.61
"Escambia County, AL"	"01053"	4.26
"Etowah County, AL"	"01055"	3.55
"Fayette County, AL"	"01057"	3.93
"Franklin County, AL"	"01059"	3.75
"Geneva County, AL"	"01061"	3.78
"Greene County, AL"	"01063"	3.76
"Hale County, AL"	"01065"	3.84
"Henry County, AL"	"01067"	3.48
"Houston County, AL"	"01069"	3.66
"Jackson County, AL"	"01071"	3.71
"Jefferson County, AL"	"01073"	3.71
"Lamar County, AL"	"01075"	3.92
"Lauderdale County, AL"	"01077"	3.69
"Lawrence County, AL"	"01079"	3.79
"Lee County, AL"	"01081"	3.54
"Limestone County, AL"	"01083"	3.75
"Lowndes County, AL"	"01085"	3.70
"Macon County, AL"	"01087"	3.53
"Madison County, AL"	"01089"	3.62
"Marengo County, AL"	"01091"	3.83
"Marion County, AL"	"01093"	3.94
"Marshall County, AL"	"01095"	3.66
"Mobile County, AL"	"01097"	4.32
"Monroe County, AL"	"01099"	3.92
"Montgomery County, AL"	"01101"	3.65
"Morgan County, AL"	"01103"	3.71
"Perry County, AL"	"01105"	3.84
"Pickens County, AL"	"01107"	3.82
"Pike County, AL"	"01109"	3.71
"Randolph County, AL"	"01111"	3.57
"Russell County, AL"	"01113"	3.32
"St. Clair County, AL"	"01115"	3.67
"Shelby County, AL"	"01117"	3.75
"Sumter County, AL"	"01119"	3.86
"Talladega County, AL"	"01121"	3.60
"Tallapoosa County, AL"	"01123"	3.66
"Tuscaloosa County, AL"	"01125"	3.77
"Walker County, AL"	"01127"	3.78
"Washington County, AL"	"01129"	4.19
"Wilcox County, AL"	"01131"	3.80
"Winston County, AL"	"01133"	3.95
"Apache County, AZ"	"04001"	0.88
"Cochise County, AZ"	"04003"	1.00
"Coconino County, AZ"	"04005"	0.94
"Gila County, AZ"	"04007"	1.37
"Graham County, AZ"	"04009"	1.08
"Greenlee County, AZ"	"04011"	1.25
"La Paz County, AZ"	"04012"	0.45
"Maricopa County, AZ"	"04013"	0.64
"Mohave County, AZ"	"04015"	0.73
"Navajo County, AZ"	"04017"	0.81
"Pima County, AZ"	"04019"	0.82
"Pinal County, AZ"	"04021"	0.85
"Santa Cruz County, AZ"	"04023"	1.21
"Yavapai County, AZ"	"04025"	1.08
"Yuma County, AZ"	"04027"	0.34
"Arkansas County, AR"	"05001"	3.43
"Ashley County, AR"	"05003"	3.76
"Baxter County, AR"	"05005"	3.10
"Benton County, AR"	"05007"	3.22
"Boone County, AR"	"05009"	3.09
"Bradley County, AR"	"05011"	3.75
"Calhoun County, AR"	"05013"	3.67
"Carroll County, AR"	"05015"	3.10
"Chicot County, AR"	"05017"	3.60
"Clark County, AR"	"05019"	3.82
"Clay County, AR"	"05021"	3.25
"Cleburne County, AR"	"05023"	3.46
"Cleveland County, AR"	"05025"	3.69
"Columbia County, AR"	"05027"	3.66
"Conway County, AR"	"05029"	3.44
"Craighead County, AR"	"05031"	3.28
"Crawford County, AR"	"05033"	3.45
"Crittenden County, AR"	"05035"	3.37
"Cross County, AR"	"05037"	3.32
"Dallas County, AR"	"05039"	3.71
"Desha County, AR"	"05041"	3.51
"Drew County, AR"	"05043"	3.68
"Faulkner County, AR"	"05045"	3.46
"Franklin County, AR"	"05047"	3.35
"Fulton County, AR"	"05049"	3.23
"Garland County, AR"	"05051"	3.85
"Grant County, AR"	"05053"	3.63
"Greene County, AR"	"05055"	3.33
"Hempstead County, AR"	"05057"	3.59
"Hot Spring County, AR"	"05059"	3.84
"Howard County, AR"	"05061"	3.75
"Independence County, AR"	"05063"	3.35
"Izard County, AR"	"05065"	3.20
"Jackson County, AR"	"05067"	3.38
"Jefferson County, AR"	"05069"	3.43
"Johnson County, AR"	"05071"	3.44
"Lafayette County, AR"	"05073"	3.61
"Lawrence County, AR"	"05075"	3.38
"Lee County, AR"	"05077"	3.52
"Lincoln County, AR"	"05079"	3.53
"Little River County, AR"	"05081"	3.49
"Logan County, AR"	"05083"	3.31
"Lonoke County, AR"	"05085"	3.36
"Madison County, AR"	"05087"	3.35
"Marion County, AR"	"05089"	3.06
"Miller County, AR"	"05091"	3.43
"Mississippi County, AR"	"05093"	3.31
"Monroe County, AR"	"05095"	3.48
"Montgomery County, AR"	"05097"	3.94
"Nevada County, AR"	"05099"	3.73
"Newton County, AR"	"05101"	3.30
"Ouachita County, AR"	"05103"	3.67
"Perry County, AR"	"05105"	3.39
"Phillips County, AR"	"05107"	3.55
"Pike County, AR"	"05109"	3.91
"Poinsett County, AR"	"05111"	3.25
"Polk County, AR"	"05113"	4.02
"Pope County, AR"	"05115"	3.36
"Prairie County, AR"	"05117"	3.43
"Pulaski County, AR"	"05119"	3.41
"Randolph County, AR"	"05121"	3.35
"St. Francis County, AR"	"05123"	3.44
"Saline County, AR"	"05125"	3.66
"Scott County, AR"	"05127"	3.62
"Searcy County, AR"	"05129"	3.20
"Sebastian County, AR"	"05131"	3.31
"Sevier County, AR"	"05133"	3.57
"Sharp County, AR"	"05135"	3.30
"Stone County, AR"	"05137"	3.32
"Union County, AR"	"05139"	3.67
"Van Buren County, AR"	"05141"	3.56
"Washington County, AR"	"05143"	3.34
"White County, AR"	"05145"	3.47
"Woodruff County, AR"	"05147"	3.40
"Yell County, AR"	"05149"	3.45
"Alameda County, CA"	"06001"	1.23
"Alpine County, CA"	"06003"	2.57
"Amador County, CA"	"06005"	2.43
"Butte County, CA"	"06007"	3.36
"Calaveras County, CA"	"06009"	2.59
"Colusa County, CA"	"06011"	1.42
"Contra Costa County, CA"	"06013"	1.23
"Del Norte County, CA"	"06015"	6.39
"El Dorado County, CA"	"06017"	2.90
"Fresno County, CA"	"06019"	1.45
"Glenn County, CA"	"06021"	1.56
"Humboldt County, CA"	"06023"	4.40
"Imperial County, CA"	"06025"	0.25
"Inyo County, CA"	"06027"	0.46
"Kern County, CA"	"06029"	0.65
"Kings County, CA"	"06031"	0.55
"Lake County, CA"	"06033"	2.73
"Lassen County, CA"	"06035"	1.09
"Los Angeles County, CA"	"06037"	1.05
"Madera County, CA"	"06039"	1.79
"Marin County, CA"	"06041"	2.44
"Mariposa County, CA"	"06043"	2.32
"Mendocino County, CA"	"06045"	3.58
"Merced County, CA"	"06047"	0.86
"Modoc County, CA"	"06049"	1.19
"Mono County, CA"	"06051"	1.13
"Monterey County, CA"	"06053"	1.34
"Napa County, CA"	"06055"	2.32
"Nevada County, CA"	"06057"	3.45
"Orange County, CA"	"06059"	1.08
"Placer County, CA"	"06061"	3.05
"Plumas County, CA"	"06063"	2.79
"Riverside County, CA"	"06065"	0.54
"Sacramento County, CA"	"06067"	1.42
"San Benito County, CA"	"06069"	1.08
"San Bernardino County, CA"	"06071"	0.49
"San Diego County, CA"	"06073"	1.01
"San Francisco County, CA"	"06075"	1.51
"San Joaquin County, CA"	"06077"	1.09
"San Luis Obispo County, CA"	"06079"	1.12
"San Mateo County, CA"	"06081"	1.89
"Santa Barbara County, CA"	"06083"	1.44
"Santa Clara County, CA"	"06085"	1.45
"Santa Cruz County, CA"	"06087"	2.56
"Shasta County, CA"	"06089"	3.35
"Sierra County, CA"	"06091"	3.11
"Siskiyou County, CA"	"06093"	2.73
"Solano County, CA"	"06095"	1.52
