"County"	"id"	sun
"Autauga County, AL"	"01001"	17103.72
"Baldwin County, AL"	"01003"	17660.59
"Barbour County, AL"	"01005"	17315.13
"Bibb County, AL"	"01007"	16904.87
"Blount County, AL"	"01009"	16393.63
"Bullock County, AL"	"01011"	17296.02
"Butler County, AL"	"01013"	17323.69
"Calhoun County, AL"	"01015"	16447.09
"Chambers County, AL"	"01017"	16997.01
"Cherokee County, AL"	"01019"	16331.42
"Chilton County, AL"	"01021"	16961.72
"Choctaw County, AL"	"01023"	17429.24
"Clarke County, AL"	"01025"	17381.62
"Clay County, AL"	"01027"	16755.96
"Cleburne County, AL"	"01029"	16487.02
"Coffee County, AL"	"01031"	17386.38
"Colbert County, AL"	"01033"	16343.48
"Conecuh County, AL"	"01035"	17336.91
"Coosa County, AL"	"01037"	17027.04
"Covington County, AL"	"01039"	17381.30
"Crenshaw County, AL"	"01041"	17367.83
"Cullman County, AL"	"01043"	16360.99
"Dale County, AL"	"01045"	17374.22
"Dallas County, AL"	"01047"	17232.70
"DeKalb County, AL"	"01049"	16168.46
"Elmore County, AL"	"01051"	17118.28
"Escambia County, AL"	"01053"	17353.24
"Etowah County, AL"	"01055"	16365.36
"Fayette County, AL"	"01057"	16720.96
"Franklin County, AL"	"01059"	16320.33
"Geneva County, AL"	"01061"	17468.74
"Greene County, AL"	"01063"	17151.46
"Hale County, AL"	"01065"	17097.13
"Henry County, AL"	"01067"	17360.76
"Houston County, AL"	"01069"	17496.70
"Jackson County, AL"	"01071"	16063.19
"Jefferson County, AL"	"01073"	16607.77
"Lamar County, AL"	"01075"	16705.72
"Lauderdale County, AL"	"01077"	16249.01
"Lawrence County, AL"	"01079"	16302.02
"Lee County, AL"	"01081"	17024.69
"Limestone County, AL"	"01083"	16159.39
"Lowndes County, AL"	"01085"	17289.50
"Macon County, AL"	"01087"	17190.40
"Madison County, AL"	"01089"	16049.50
"Marengo County, AL"	"01091"	17316.70
"Marion County, AL"	"01093"	16458.18
"Marshall County, AL"	"01095"	16213.71
"Mobile County, AL"	"01097"	17732.05
"Monroe County, AL"	"01099"	17336.52
"Montgomery County, AL"	"01101"	17317.72
"Morgan County, AL"	"01103"	16261.05
"Perry County, AL"	"01105"	17096.14
"Pickens County, AL"	"01107"	16948.20
"Pike County, AL"	"01109"	17321.40
"Randolph County, AL"	"01111"	16784.26
"Russell County, AL"	"01113"	17215.15
"St. Clair County, AL"	"01115"	16537.45
"Shelby County, AL"	"01117"	16750.94
"Sumter County, AL"	"01119"	17228.52
"Talladega County, AL"	"01121"	16639.83
"Tallapoosa County, AL"	"01123"	17014.31
"Tuscaloosa County, AL"	"01125"	16859.87
"Walker County, AL"	"01127"	16598.78
"Washington County, AL"	"01129"	17461.07
"Wilcox County, AL"	"01131"	17309.28
"Winston County, AL"	"01133"	16462.53
"Apache County, AZ"	"04001"	18657.88
"Cochise County, AZ"	"04003"	20240.65
"Coconino County, AZ"	"04005"	18883.02
"Gila County, AZ"	"04007"	19891.99
"Graham County, AZ"	"04009"	20165.50
"Greenlee County, AZ"	"04011"	19866.10
"La Paz County, AZ"	"04012"	20493.13
"Maricopa County, AZ"	"04013"	20428.94
"Mohave County, AZ"	"04015"	19423.92
"Navajo County, AZ"	"04017"	18856.02
"Pima County, AZ"	"04019"	20460.15
