"Notes"	"County"	"id"	"Month"	"Month Code"	daily_max_air_temp_f
	"Autauga County, AL"	"01001"	"Jan"	"1"	54.30
	"Autauga County, AL"	"01001"	"Feb"	"2"	58.61
	"Autauga County, AL"	"01001"	"Mar"	"3"	66.00
	"Autauga County, AL"	"01001"	"Apr"	"4"	73.49
	"Autauga County, AL"	"01001"	"May"	"5"	81.14
	"Autauga County, AL"	"01001"	"Jun"	"6"	86.99
	"Autauga County, AL"	"01001"	"Jul"	"7"	89.42
	"Autauga County, AL"	"01001"	"Aug"	"8"	89.62
	"Autauga County, AL"	"01001"	"Sep"	"9"	84.96
	"Autauga County, AL"	"01001"	"Oct"	"10"	75.78
	"Autauga County, AL"	"01001"	"Nov"	"11"	65.78
	"Autauga County, AL"	"01001"	"Dec"	"12"	56.95
"Total"	"Autauga County, AL"	"01001"			73.65
	"Baldwin County, AL"	"01003"	"Jan"	"1"	59.60
	"Baldwin County, AL"	"01003"	"Feb"	"2"	62.61
	"Baldwin County, AL"	"01003"	"Mar"	"3"	68.38
	"Baldwin County, AL"	"01003"	"Apr"	"4"	74.79
	"Baldwin County, AL"	"01003"	"May"	"5"	81.36
	"Baldwin County, AL"	"01003"	"Jun"	"6"	86.45
	"Baldwin County, AL"	"01003"	"Jul"	"7"	88.25
	"Baldwin County, AL"	"01003"	"Aug"	"8"	88.25
	"Baldwin County, AL"	"01003"	"Sep"	"9"	84.90
	"Baldwin County, AL"	"01003"	"Oct"	"10"	77.75
	"Baldwin County, AL"	"01003"	"Nov"	"11"	69.42
	"Baldwin County, AL"	"01003"	"Dec"	"12"	62.15
"Total"	"Baldwin County, AL"	"01003"			75.38
	"Barbour County, AL"	"01005"	"Jan"	"1"	56.31
	"Barbour County, AL"	"01005"	"Feb"	"2"	60.72
	"Barbour County, AL"	"01005"	"Mar"	"3"	67.95
	"Barbour County, AL"	"01005"	"Apr"	"4"	74.93
	"Barbour County, AL"	"01005"	"May"	"5"	82.34
	"Barbour County, AL"	"01005"	"Jun"	"6"	87.90
	"Barbour County, AL"	"01005"	"Jul"	"7"	89.72
	"Barbour County, AL"	"01005"	"Aug"	"8"	89.62
	"Barbour County, AL"	"01005"	"Sep"	"9"	85.47
	"Barbour County, AL"	"01005"	"Oct"	"10"	76.98
	"Barbour County, AL"	"01005"	"Nov"	"11"	67.62
	"Barbour County, AL"	"01005"	"Dec"	"12"	58.99
"Total"	"Barbour County, AL"	"01005"			74.94
	"Bibb County, AL"	"01007"	"Jan"	"1"	53.30
	"Bibb County, AL"	"01007"	"Feb"	"2"	57.74
	"Bibb County, AL"	"01007"	"Mar"	"3"	65.21
	"Bibb County, AL"	"01007"	"Apr"	"4"	72.74
