Time,Auto,Athlete,Date,Place
30:58.8,,Jean Bouin (FRA),"November 16, 1911","Paris, France[1]"
30:40.2,,Paavo Nurmi (FIN),"June 22, 1921","Stockholm, Sweden[1]"
30:35.4,,Ville Ritola (FIN),"May 25, 1924","Helsinki, Finland[1]"
30:23.2,,Ville Ritola (FIN),"July 6, 1924","Paris, France[1]"
30:06.2,,Paavo Nurmi (FIN),"August 31, 1924","Kuopio, Finland[1]"
30:05.6,,Ilmari Salminen (FIN),"July 18, 1937","Kouvola, Finland[1]"
30:02.0,,Taisto Mäki (FIN),"September 29, 1938","Tampere, Finland[1]"
29:52.6,,Taisto Mäki (FIN),"September 17, 1939","Helsinki, Finland[1]"
29:35.4,,Viljo Heino (FIN),"August 25, 1944","Helsinki, Finland[1]"
29:28.2,,Emil Zátopek (CZE),"June 11, 1949","Ostrava, Czech Republic[1]"
29:27.2,,Viljo Heino (FIN),"September 1, 1949","Kouvola, Finland[1]"
29:21.2,,Emil Zátopek (CZE),"October 22, 1949","Ostrava, Czech Republic[1]"
29:02.6,,Emil Zátopek (CZE),"August 4, 1950","Turku, Finland[1]"
29:01.6,,Emil Zátopek (CZE),"November 1, 1953","Stara Boleslav, Czech Republic[1]"
28:54.2,,Emil Zátopek (CZE),"June 1, 1954","Brussels, Belgium[1]"
28:42.8,,Sandor Iharos (HUN),"July 15, 1956","Budapest, Hungary[1]"
28:30.4,,Vladimir Kuts (URS),"September 11, 1956","Moscow, Soviet Union[1]"
28:18.8,,Pyotr Bolotnikov (URS),"October 15, 1960","Kiev, Soviet Union[1]"
28:18.2,,Pyotr Bolotnikov (URS),"August 11, 1962","Moscow, Soviet Union[1]"
28:15.6,,Ron Clarke (AUS),"December 18, 1963","Melbourne, Australia[1]"
27:39.4,27:39.89,Ron Clarke (AUS),"July 14, 1965","Oslo, Norway[1]"
27:38.4,27:38.35,Lasse Virén (FIN),"September 3, 1972","Munich, Germany[1]"
27:30.8,27:30.80,David Bedford (GBR),"July 13, 1973","London, United Kingdom[1]"
27:30.5,27:30.47,Samson Kimobwa (KEN),"June 30, 1977","Helsinki, Finland[1]"
27:22.4,27:22.47,Henry Rono (KEN),"June 11, 1978","Vienna, Austria[1]"
27:13.81,,Fernando Mamede (POR),"July 2, 1984","Stockholm, Sweden[1]"
27:08.23,,Arturo Barrios (MEX),"August 18, 1989","Berlin, Germany[1]"
27:07.91,,Richard Chelimo (KEN),"July 5, 1993","Stockholm, Sweden[1]"
26:58.38,,Yobes Ondieki (KEN),"July 10, 1993","Oslo, Norway[1]"
26:52.23,,William Sigei (KEN),"July 22, 1994","Oslo, Norway[1]"
26:43.53,,Haile Gebrselassie (ETH),"June 5, 1995","Hengelo, Netherlands[1]"
26:38.08,,Salah Hissou (MAR),"August 23, 1996","Brussels, Belgium[1]"
26:31.32,,Haile Gebrselassie (ETH),"July 4, 1997","Oslo, Norway[1]"
26:27.85,,Paul Tergat (KEN),"August 22, 1997","Brussels, Belgium[1]"
26:22.75,,Haile Gebrselassie (ETH),"June 1, 1998","Hengelo, Netherlands[1]"
26:20.31,,Kenenisa Bekele (ETH),"June 8, 2004","Ostrava, Czech Republic[1]"
26:17.53,,Kenenisa Bekele (ETH),"August 26, 2005","Brussels, Belgium[1]"
26:11.00,,Joshua Cheptegei (UGA),"October 7, 2020","Valencia, Spain"
