Time,Athlete,Date,Place
4:21,Fernand Meiers (FRA),1893-05-28,"Paris, France"
4:19.8,Felix Bourdier (FRA),1894-07-22,"Paris, France"
4:18.4,Albin Lermusiaux (FRA),1895-05-12,"Paris, France"
4:16.8,Michel Soalhat (FRA),1895-05-26,"Paris, France"
4:15.6,Thomas Conneff (USA),1895-08-26,"New York City, United States"
4:10.4,Albin Lermusiaux (FRA),1896-06-26,"Paris, France"
4:09,John Bray (USA),1900-05-30,Bayonne
4:06.2,Charles Bennett (GBR),1900-07-15,"Paris, France"
4:05.4,James Lightbody (USA),1904-09-03,"St. Louis, United States"
3:59.8,Harold Wilson (GBR),1908-05-30,"London, England"
3:59.2,Abel Kiviat (USA),1912-05-26,"New York City, United States"
3:56.8,Abel Kiviat (USA),1912-06-01,"New York City, United States"
