Time,Auto,Athlete,Nationality,Location of race,Date
47.8y,,Maxie Long,United States,"New York, USA","September 29, 1900[1]"
48.2,,Charles Reidpath,United States,"Stockholm, Sweden","July 13, 1912[1]"
47.4y,,Ted Meredith,United States,"Cambridge, USA","May 27, 1916[1][2]"
47.6,,Eric Liddell,United Kingdom,"Paris, France","July 11, 1924[note 1][3]"
47.0,,Emerson Spencer,United States,"Palo Alto, USA","May 12, 1928[1]"
46.4y,,Ben Eastman,United States,"Palo Alto, California, USA","March 26, 1932[1]"
46.2,46.28,Bill Carr,United States,"Los Angeles, USA","August 5, 1932[1]"
46.1,,Archie Williams,United States,"Chicago, USA","June 19, 1936[1]"
46.0,,Rudolf Harbig,Germany,"Frankfurt am Main, Germany","August 12, 1939[1]"
46.0,,Grover Klemmer,United States,"Philadelphia, USA","June 6, 1941[1][4]"
46.0y,,Herb McKenley,Jamaica,"Berkeley, USA","June 5, 1948[1]"
45.9,46.00,Herb McKenley,Jamaica,"Milwaukee, USA","July 2, 1948[1]"
45.8,,George Rhoden,Jamaica,"Eskilstuna, Sweden","August 22, 1950[1]"
45.4A,45.68,Lou Jones,United States,"Mexico City, Mexico","March 18, 1955[1]"
45.2,,Lou Jones,United States,"Los Angeles, USA","June 30, 1956[1]"
44.9,45.07,Otis Davis,United States,"Rome, Italy","September 6, 1960[1]"
44.9,45.08,Carl Kaufmann,Germany,"Rome, Italy","September 6, 1960[1]"
44.9y,,Adolph Plummer,United States,"Tempe, USA","May 25, 1963[1]"
44.9,,Mike Larrabee,United States,"Los Angeles, USA","September 12, 1964[1]"
44.5+,,Tommie Smith,United States,"San Jose, USA","May 20, 1967[1]"
44.1A,44.19,Larry James,United States,"Echo Summit, USA","September 14, 1968[1]"
43.8A,43.86,Lee Evans,United States,"Mexico City, Mexico","October 18, 1968[1]"
