Time,Athlete,Nationality,Location of race,Date
50.14,Riitta Salin,Finland,"Rome, Italy",4 September 1974[1]
49.77,Christina Brehmer,East Germany,"Dresden, East Germany",9 May 1976[1]
49.75,Irena Szewińska,Poland,"Bydgoszcz, Poland",22 June 1976[1]
49.29,Irena Szewińska,Poland,"Montreal, Canada",29 July 1976[1]
49.19,Marita Koch,East Germany,"Leipzig, East Germany",2 July 1978[1]
49.03,Marita Koch,East Germany,"Potsdam, East Germany",19 August 1978[1]
48.94,Marita Koch,East Germany,"Prague, Czechoslovakia",31 August 1978[1]
48.89,Marita Koch,East Germany,"Potsdam, East Germany",29 July 1979[1]
48.60,Marita Koch,East Germany,"Turin, Italy",4 August 1979[1]
48.16,Marita Koch,East Germany,"Athens, Greece",8 September 1982[1]
47.99,Jarmila Kratochvílová,Czechoslovakia,"Helsinki, Finland",10 August 1983[1]
47.60,Marita Koch,East Germany,"Canberra, Australia",6 October 1985[1]
