Time,Auto,Athlete,Nationality,Location of race,Date
57.0y,,Marlene Mathews,Australia,"Sydney, Australia",6 January 1957[1]
57.0y,,Marise Chamberlain,New Zealand,"Christchurch, New Zealand",16 February 1957[1]
56.3y,,Nancy Boyle,Australia,"Sydney, Australia",24 February 1957[1]
55.2,,Polina Lazareva,Soviet Union,"Moscow, Soviet Union",10 May 1957[1]
54.0,,Mariya Itkina,Soviet Union,"Minsk, Soviet Union",8 June 1957[1]
53.6,,Mariya Itkina,Soviet Union,"Moscow, Soviet Union",6 July 1957[1]
53.4+,,Mariya Itkina,Soviet Union,"Krasnodar, Soviet Union",12 September 1959[1]
53.4,,Mariya Itkina,Soviet Union,"Belgrade, Yugoslavia",14 September 1962[1]
51.9,,Shin Geum-Dan,North Korea,"Pyongyang, North Korea",23 October 1962[1]
51.7,51.72,Nicole Duclos,France,"Athens, Greece",18 September 1969[1]
51.7,51.74,Colette Besson,France,"Athens, Greece",18 September 1969[1]
51.0,51.02,Marilyn Neufville,Jamaica,"Edinburgh, Scotland",23 July 1970[1]
51.0,51.08,Monika Zehrt,East Germany,"Paris, France",4 July 1972[1]
49.9,,Irena Szewińska,Poland,"Warsaw, Poland",22 June 1974[1]
