Time,Name,Nationality,Date,Event/Place,Source,Notes
2:55:18.4,Johnny Hayes,United States,"July 24, 1908","London, United Kingdom",IAAF[53],"Time was officially recorded as 2:55:18 2/5.[54] Italian Dorando Pietri finished in 2:54:46.4, but was disqualified for receiving assistance from race officials near the finish.[55] Note.[56]"
2:52:45.4,Robert Fowler,United States,"January 1, 1909","Yonkers,[nb 5] United States",IAAF[53],Note.[56]
2:46:52.8,James Clark,United States,"February 12, 1909","New York City, United States",IAAF[53],Note.[56]
2:46:04.6,Albert Raines,United States,"May 8, 1909","New York City, United States",IAAF[53],Note.[56]
2:42:31.0,Henry Barrett,United Kingdom,"May 26, 1909[nb 6]","Polytechnic Marathon, London, United Kingdom",IAAF[53],Note.[56]
2:40:34.2,Thure Johansson,Sweden,"August 31, 1909","Stockholm, Sweden",IAAF[53],Note.[56]
2:38:16.2,Harry Green,United Kingdom,"May 12, 1913",Polytechnic Marathon,IAAF[53],Note.[61]
2:36:06.6,Alexis Ahlgren,Sweden,"May 31, 1913",Polytechnic Marathon,IAAF[53],Report in The Times claiming world record.[62] Note.[61]
2:38:00.8,Umberto Blasi,Italy,"November 29, 1914","Legnano, Italy",ARRS[9],
2:32:35.8,Hannes Kolehmainen,Finland,"August 22, 1920","Antwerp, Belgium","IAAF,[53] ARRS[9]","The course distance was officially reported to be 42,750 meters/26.56 miles,[63] however, the Association of Road Racing Statisticians estimated the course to be 40 km.[31]"
2:29:01.8,Albert Michelsen,United States,"October 12, 1925","Port Chester, United States",IAAF[53],Note.[64]
2:30:57.6,Harry Payne,United Kingdom,"July 5, 1929",London,ARRS[9],
2:26:14,Sohn Kee-chung,Japanese Korea,"March 21, 1935","Tokyo, Japan",ARRS[9],Competed for Japan as Kitei Son because of Japan's occupation of the Korean Peninsula
2:27:49.0,Fusashige Suzuki,Japan,"March 31, 1935","Tokyo, Japan",IAAF[53],"According to the Association of Road Racing Statisticians, Suzuki's 2:27:49 performance occurred in Tokyo on March 21, 1935, during a race in which he finished second to Sohn Kee-chung (sometimes referred to as Kee-Jung Sohn or Son Kitei) who ran a 2:26:14.[65]"
2:26:44.0,Yasuo Ikenaka,Japan,"April 3, 1935","Tokyo, Japan",IAAF[53],Note.[66]
2:26:42,Sohn Kee-chung,Japanese Korea,"November 3, 1935","Tokyo, Japan",IAAF[53],Note.[66]
2:25:39,Suh Yun-bok,Korea,"April 19, 1947",Boston Marathon,IAAF[53],Disputed (short course).[67] Disputed (point-to-point).[68] Note.[69]
2:20:42.2,Jim Peters,United Kingdom,"June 14, 1952",Polytechnic Marathon,"IAAF,[53] ARRS[9]",MarathonGuide.com states the course was slightly long.[70] Report in The Times claiming world record.[71]
2:18:40.4,Jim Peters,United Kingdom,"June 13, 1953",Polytechnic Marathon,"IAAF,[53] ARRS[9]",Report in The Times claiming world record.[71]
2:18:34.8,Jim Peters,United Kingdom,"October 4, 1953",Turku Marathon,"IAAF,[53] ARRS[9]",
2:17:39.4,Jim Peters,United Kingdom,"June 26, 1954",Polytechnic Marathon,IAAF[53],Point-to-point course.[citation needed] Report in The Times claiming world record.[72]
2:18:04.8,Paavo Kotila,Finland,"August 12, 1956","Pieksämäki, Finland",ARRS[9],
2:15:17.0,Sergei Popov,Soviet Union,"August 24, 1958","Stockholm, Sweden","IAAF,[53] ARRS[9]",The ARRS notes Popov's extended time as 2:15:17.6[9]
2:15:16.2,Abebe Bikila,Ethiopia,"September 10, 1960","Rome, Italy","IAAF,[53] ARRS[9]",World record fastest marathon run in bare feet.[73]
2:15:15.8,Toru Terasawa,Japan,"February 17, 1963",Beppu-Ōita Marathon,"IAAF,[53] ARRS[9]",
2:14:28,Leonard Edelen,United States,"June 15, 1963",Polytechnic Marathon,IAAF[53],Point-to-point course.[citation needed] Report in The Times claiming world record and stating that the course may have been long.[74]
2:14:43,Brian Kilby,United Kingdom,"July 6, 1963","Port Talbot, Wales",ARRS[9],
2:13:55,Basil Heatley,United Kingdom,"June 13, 1964",Polytechnic Marathon,IAAF[53],Point-to-point course.[citation needed] Report in The Times claiming world record.[75]
2:12:11.2,Abebe Bikila,Ethiopia,"October 21, 1964","Tokyo, Japan","IAAF,[53] ARRS[9]",
2:12:00,Morio Shigematsu,Japan,"June 12, 1965",Polytechnic Marathon,IAAF[53],Point-to-point course.[citation needed] Report in The Times claiming world record.[76]
2:09:36.4,Derek Clayton,Australia,"December 3, 1967",Fukuoka Marathon,"IAAF,[53] ARRS[9]",
2:08:33.6,Derek Clayton,Australia,"May 30, 1969","Antwerp, Belgium",IAAF[53],Disputed (short course).[77]
2:09:28.8,Ron Hill,United Kingdom,"July 23, 1970","Edinburgh, Scotland",ARRS[9],
2:09:12,Ian Thompson,United Kingdom,"January 31, 1974","Christchurch, New Zealand",ARRS[9],
2:09:05.6,Shigeru So,Japan,"February 5, 1978",Beppu-Ōita Marathon,ARRS[9],
2:09:01,Gerard Nijboer,Netherlands,"April 26, 1980",Amsterdam Marathon,ARRS[9],
