Date,h,m,s,ms,Time,Wind,Auto,event,sex,Athlete,Nationality
"August 10, 1983",00,00,47,99,00:00:47.99,NA,NA,400,w,Jarmila Kratochvílová,Czechoslovakia
"May 10, 1957",00,00,55,20,00:00:55.20,NA,NA,400,w,Polina Lazareva,Soviet Union
"September 12, 1959",00,00,53,40,00:00:53.40,NA,NA,400,w,Mariya Itkina,Soviet Union
"September 14, 1962",00,00,53,40,00:00:53.40,NA,NA,400,w,Mariya Itkina,Soviet Union
"February 16, 1957",00,00,57,00,00:00:57.00,NA,NA,400,w,Marise Chamberlain,New Zealand
"September 18, 1969",00,00,51,70,00:00:51.70,NA,51.72,400,w,Nicole Duclos,France
"September 18, 1969",00,00,51,70,00:00:51.70,NA,51.74,400,w,Colette Besson,France
1847-04-05,00,32,35,00,00:32:35.00,NA,NA,10000,m,William Howitt (GBR),NA
1882-03-25,00,32,09,00,00:32:09.00,NA,NA,10000,m,Walter George (GBR),NA
1884-04-07,00,31,53,40,00:31:53.40,NA,NA,10000,m,Walter George (GBR),NA
1884-07-28,00,31,40,00,00:31:40.00,NA,NA,10000,m,Walter George (GBR),NA
1885-09-28,00,31,23,10,00:31:23.10,NA,NA,10000,m,William Cummings (GBR),NA
1893-05-28,00,04,21,00,00:04:21.00,NA,NA,1500,m,Fernand Meiers (FRA),NA
1894-07-22,00,04,19,80,00:04:19.80,NA,NA,1500,m,Felix Bourdier (FRA),NA
1895-05-12,00,04,18,40,00:04:18.40,NA,NA,1500,m,Albin Lermusiaux (FRA),NA
1895-05-26,00,04,16,80,00:04:16.80,NA,NA,1500,m,Michel Soalhat (FRA),NA
1895-08-26,00,04,15,60,00:04:15.60,NA,NA,1500,m,Thomas Conneff (USA),NA
1896-06-26,00,04,10,40,00:04:10.40,NA,NA,1500,m,Albin Lermusiaux (FRA),NA
1897-10-31,00,16,34,60,00:16:34.60,NA,NA,5000,m,George Touquet-Daunis (FRA),NA
1899-05-22,00,16,29,20,00:16:29.20,NA,NA,5000,m,George Touquet-Daunis (FRA),NA
"August 19, 1978",00,00,49,03,00:00:49.03,NA,NA,400,w,Marita Koch,East Germany
1900-05-30,00,04,09,00,00:04:09.00,NA,NA,1500,m,John Bray (USA),NA
1900-07-15,00,04,06,20,00:04:06.20,NA,NA,1500,m,Charles Bennett (GBR),NA
1900-07-22,00,15,29,80,00:15:29.80,NA,NA,5000,m,Charles Bennett (GBR),NA
1904-06-13,00,14,59,00,00:14:59.00,NA,NA,5000,m,Alfred Shrubb (GBR),NA
1904-09-03,00,04,05,40,00:04:05.40,NA,NA,1500,m,James Lightbody (USA),NA
1904-11-05,00,31,02,40,00:31:02.40,NA,NA,10000,m,Alfred Shrubb (GBR),NA
1908-05-30,00,03,59,80,00:03:59.80,NA,NA,1500,m,Harold Wilson (GBR),NA
1912-05-26,00,03,59,20,00:03:59.20,NA,NA,1500,m,Abel Kiviat (USA),NA
1912-06-01,00,03,56,80,00:03:56.80,NA,NA,1500,m,Abel Kiviat (USA),NA
1912-06-08,00,03,55,80,00:03:55.80,NA,NA,1500,m,Abel Kiviat (USA),NA
1912-07-10,00,14,36,60,00:14:36.60,NA,NA,5000,m,Hannes Kolehmainen (FIN),NA
1917-08-05,00,03,54,70,00:03:54.70,NA,NA,1500,m,John Zander (SWE),NA
1922-09-12,00,14,35,40,00:14:35.40,NA,NA,5000,m,Paavo Nurmi (FIN),NA
1924-06-19,00,03,52,60,00:03:52.60,NA,NA,1500,m,Paavo Nurmi (FIN),NA
1924-06-19,00,14,28,20,00:14:28.20,NA,NA,5000,m,Paavo Nurmi (FIN),NA
1926-09-11,00,03,51,00,00:03:51.00,NA,NA,1500,m,Otto Peltzer (GER),NA
1927-08-19,00,05,18,20,00:05:18.20,NA,NA,1500,w,Anna Mushkina (URS),NA
1930-10-05,00,03,49,20,00:03:49.20,NA,NA,1500,m,Jules Ladoumegue (FRA),NA
1932-06-19,00,14,17,00,00:14:17.00,NA,NA,5000,m,Lauri Lehtinen (FIN),NA
1933-09-09,00,03,49,20,00:03:49.20,NA,NA,1500,m,Luigi Beccali (ITA),NA
1933-09-17,00,03,49,00,00:03:49.00,NA,NA,1500,m,Luigi Beccali (ITA),NA
1934-06-30,00,03,48,80,00:03:48.80,NA,NA,1500,m,Bill Bonthron (USA),NA
1934-09-16,00,05,07,00,00:05:07.00,NA,NA,1500,w,Anna Mushkina (URS),NA
1936-07-13,00,05,02,00,00:05:02.00,NA,NA,1500,w,Lydia Freiberg (URS),NA
1936-07-30,00,04,47,20,00:04:47.20,NA,NA,1500,w,Yevdokiya Vasilyeva (URS),NA
1936-08-06,00,03,47,80,00:03:47.80,NA,NA,1500,m,Jack Lovelock (NZL),NA
1937-09-13,00,04,45,20,00:04:45.20,NA,NA,1500,w,Yevdokiya Vasilyeva (URS),NA
1939-06-16,00,14,08,80,00:14:08.80,NA,NA,5000,m,Taisto Mäki (FIN),NA
